ts_open,ts_close,side,entry,exit,qty,sl,tp,reason
1760316240,1760316300,BUY,1.16132,1.161234233900606,493767.34,1.161234233900606,1.1614915321987875,ema_cross_up
1760317320,1760317380,SELL,1.16028,1.160487240834731,201939.19,1.160487240834731,1.1598655183305375,ema_cross_dn
1760320800,1760320860,BUY,1.16028,1.1601541899424808,330050.26,1.1601541899424808,1.1605316201150386,ema_cross_up
1760323500,1760323740,SELL,1.16011,1.160255041507723,283536.41,1.160255041507723,1.1598199169845538,ema_cross_dn
1760325360,1760325840,BUY,1.16059,1.160415781718535,233927.57,1.160415781718535,1.16093843656293,ema_cross_up
1760334300,1760334900,SELL,1.1618,1.1619116326571992,362035.1,1.1619116326571992,1.1615767346856014,ema_cross_dn
1760335680,1760335800,BUY,1.16205,1.1619486682769546,394768.37,1.1619486682769546,1.1622526634460906,ema_cross_up
1760335980,1760336400,SELL,1.16185,1.1619398187128962,440589.43,1.1619398187128962,1.1616703625742077,ema_cross_dn
1760338500,1760338800,BUY,1.16205,1.1619444792234488,370726.62,1.1619444792234488,1.1622610415531027,ema_cross_up
1760341620,1760342160,SELL,1.16189,1.1617215487257146,459579.33,1.1619742256371428,1.1617215487257146,ema_cross_dn
1760343540,1760343720,BUY,1.1622,1.1620952854845952,370802.99,1.1620952854845952,1.1624094290308091,ema_cross_up
1760344140,1760344260,SELL,1.16165,1.1617555928546903,363839.39,1.1617555928546903,1.1614388142906196,ema_cross_dn
1760346900,1760347140,BUY,1.16237,1.1627158226419463,219855.0,1.1621970886790267,1.1627158226419463,ema_cross_up
1760349180,1760349240,SELL,1.16171,1.161255873159259,168533.51,1.1619370634203705,1.161255873159259,ema_cross_dn
1760357640,1760358000,BUY,1.15942,1.1592319423097268,205004.01,1.1592319423097268,1.1597961153805458,ema_cross_up
1760361120,1760361480,SELL,1.15883,1.1589793335099585,256077.65,1.1589793335099585,1.1585313329800828,ema_cross_dn
1760364420,1760364480,BUY,1.15913,1.1588962108525211,162117.85,1.1588962108525211,1.159597578294958,ema_cross_up
1760365620,1760366220,SELL,1.15824,1.15785756512465,196728.55,1.1584312174376747,1.15785756512465,ema_cross_dn
1760372040,1760372220,BUY,1.15715,1.156948596473816,188081.02,1.156948596473816,1.1575528070523677,ema_cross_up
1760375520,1760376480,SELL,1.15658,1.1561496922811312,174674.81,1.1567951538594343,1.1561496922811312,ema_cross_dn
1760379420,1760380560,BUY,1.15676,1.1571524561320468,192922.28,1.1565637719339767,1.1571524561320468,ema_cross_up
1760384280,1760384580,SELL,1.157,1.1571402873126468,271754.81,1.1571402873126468,1.1567194253747064,ema_cross_dn
1760384940,1760385180,BUY,1.15749,1.15736578565122,304118.84,1.15736578565122,1.1577384286975598,ema_cross_up
1760387940,1760388360,SELL,1.15715,1.1572442644832932,396873.08,1.1572442644832932,1.1569614710334135,ema_cross_dn
1760389560,1760389620,BUY,1.15741,1.1576083959994106,372934.54,1.1573108020002947,1.1576083959994106,ema_cross_up
1760391420,1760391660,SELL,1.15731,1.1570891769000018,336454.7,1.1574204115499993,1.1570891769000018,ema_cross_dn
1760394180,1760394360,BUY,1.15728,1.1572051479669114,498654.17,1.1572051479669114,1.1574297040661774,ema_cross_up
1760394840,1760395080,SELL,1.15706,1.1569287574046938,561557.18,1.157125621297653,1.1569287574046938,ema_cross_dn
1760399940,1760400000,BUY,1.15688,1.156795228350901,435213.12,1.156795228350901,1.1570495432981973,ema_cross_up
1760405760,1760405940,SELL,1.15697,1.1570196527742818,734249.42,1.1570196527742818,1.1568706944514369,ema_cross_dn
1760409600,1760409840,BUY,1.15678,1.1567129810815282,534930.76,1.1567129810815282,1.1569140378369431,ema_cross_up
